add-c,12,10000,240000,23083666,96,0
add-yield-c,12,10000,240000,225154370,938,0
add-none,1,100000,200000,1390958,6,0
add-yield-none,1,100000,200000,119331860,596,0
add-m,1,100000,200000,6581892,32,0
add-yield-m,1,100000,200000,121029639,605,0
add-s,1,100000,200000,2608871,13,0
add-yield-s,1,100000,200000,118149480,590,0
add-c,1,100000,200000,4095520,20,0
add-yield-c,1,100000,200000,123460716,617,0
add-none,2,100000,400000,4807394,12,-22909
add-yield-none,2,100000,400000,147241931,368,5
add-m,2,100000,400000,34799655,86,0
add-yield-m,2,100000,400000,405727846,1014,0
add-s,2,100000,400000,99244108,248,0
add-yield-s,2,100000,400000,392254704,980,0
add-c,2,100000,400000,18543330,46,0
add-yield-c,2,100000,400000,268684452,671,0
add-none,4,100000,800000,12550047,15,-33144
add-yield-none,4,100000,800000,158471610,198,-3363
add-m,4,100000,800000,145968548,182,0
add-yield-m,4,100000,800000,1053092938,1316,0
add-s,4,100000,800000,384106698,480,0
add-yield-s,4,100000,800000,937947602,1172,0
add-c,4,100000,800000,63645272,79,0
add-yield-c,4,100000,800000,540142857,675,0
add-none,8,100000,1600000,21955681,13,-39504
add-yield-none,8,100000,1600000,178172366,111,-5071
add-m,8,100000,1600000,315501113,197,0
add-yield-m,8,100000,1600000,2483352681,1552,0
add-s,8,100000,1600000,1213702960,758,0
add-yield-s,8,100000,1600000,2161742408,1351,0
add-c,8,100000,1600000,163749931,102,0
add-yield-c,8,100000,1600000,1339641930,837,0
add-none,12,100000,2400000,33380731,13,-15303
add-yield-none,12,100000,2400000,235753510,98,-8108
add-m,12,100000,2400000,493272139,205,0
add-yield-m,12,100000,2400000,3869198382,1612,0
add-s,12,100000,2400000,2198155829,915,0
add-yield-s,12,100000,2400000,3965122852,1652,0
add-c,12,100000,2400000,405844917,169,0
add-yield-c,12,100000,2400000,2161842849,900,0
